id,path,slice_path
1,C:/Users/Gilberto/Desktop/Gilberto/Projetos/btseg/data/Outdir\0\,C:/Users/Gilberto/Desktop/Gilberto/Projetos/btseg/data/Outdir\0\80.png
2,C:/Users/Gilberto/Desktop/Gilberto/Projetos/btseg/data/Outdir\1\,C:/Users/Gilberto/Desktop/Gilberto/Projetos/btseg/data/Outdir\1\78.png
3,C:/Users/Gilberto/Desktop/Gilberto/Projetos/btseg/data/Outdir\10\,C:/Users/Gilberto/Desktop/Gilberto/Projetos/btseg/data/Outdir\10\149.png
4,C:/Users/Gilberto/Desktop/Gilberto/Projetos/btseg/data/Outdir\100\,C:/Users/Gilberto/Desktop/Gilberto/Projetos/btseg/data/Outdir\100\151.png
5,C:/Users/Gilberto/Desktop/Gilberto/Projetos/btseg/data/Outdir\101\,C:/Users/Gilberto/Desktop/Gilberto/Projetos/btseg/data/Outdir\101\131.png
6,C:/Users/Gilberto/Desktop/Gilberto/Projetos/btseg/data/Outdir\102\,C:/Users/Gilberto/Desktop/Gilberto/Projetos/btseg/data/Outdir\102\146.png
7,C:/Users/Gilberto/Desktop/Gilberto/Projetos/btseg/data/Outdir\103\,C:/Users/Gilberto/Desktop/Gilberto/Projetos/btseg/data/Outdir\103\74.png
8,C:/Users/Gilberto/Desktop/Gilberto/Projetos/btseg/data/Outdir\104\,C:/Users/Gilberto/Desktop/Gilberto/Projetos/btseg/data/Outdir\104\89.png
9,C:/Users/Gilberto/Desktop/Gilberto/Projetos/btseg/data/Outdir\105\,C:/Users/Gilberto/Desktop/Gilberto/Projetos/btseg/data/Outdir\105\137.png
10,C:/Users/Gilberto/Desktop/Gilberto/Projetos/btseg/data/Outdir\106\,C:/Users/Gilberto/Desktop/Gilberto/Projetos/btseg/data/Outdir\106\139.png
11,C:/Users/Gilberto/Desktop/Gilberto/Projetos/btseg/data/Outdir\107\,C:/Users/Gilberto/Desktop/Gilberto/Projetos/btseg/data/Outdir\107\148.png
12,C:/Users/Gilberto/Desktop/Gilberto/Projetos/btseg/data/Outdir\108\,C:/Users/Gilberto/Desktop/Gilberto/Projetos/btseg/data/Outdir\108\144.png
13,C:/Users/Gilberto/Desktop/Gilberto/Projetos/btseg/data/Outdir\109\,C:/Users/Gilberto/Desktop/Gilberto/Projetos/btseg/data/Outdir\109\140.png
14,C:/Users/Gilberto/Desktop/Gilberto/Projetos/btseg/data/Outdir\11\,C:/Users/Gilberto/Desktop/Gilberto/Projetos/btseg/data/Outdir\11\99.png
15,C:/Users/Gilberto/Desktop/Gilberto/Projetos/btseg/data/Outdir\110\,C:/Users/Gilberto/Desktop/Gilberto/Projetos/btseg/data/Outdir\110\70.png
16,C:/Users/Gilberto/Desktop/Gilberto/Projetos/btseg/data/Outdir\111\,C:/Users/Gilberto/Desktop/Gilberto/Projetos/btseg/data/Outdir\111\68.png
17,C:/Users/Gilberto/Desktop/Gilberto/Projetos/btseg/data/Outdir\112\,C:/Users/Gilberto/Desktop/Gilberto/Projetos/btseg/data/Outdir\112\65.png
18,C:/Users/Gilberto/Desktop/Gilberto/Projetos/btseg/data/Outdir\113\,C:/Users/Gilberto/Desktop/Gilberto/Projetos/btseg/data/Outdir\113\125.png
19,C:/Users/Gilberto/Desktop/Gilberto/Projetos/btseg/data/Outdir\114\,C:/Users/Gilberto/Desktop/Gilberto/Projetos/btseg/data/Outdir\114\100.png
20,C:/Users/Gilberto/Desktop/Gilberto/Projetos/btseg/data/Outdir\115\,C:/Users/Gilberto/Desktop/Gilberto/Projetos/btseg/data/Outdir\115\84.png
21,C:/Users/Gilberto/Desktop/Gilberto/Projetos/btseg/data/Outdir\116\,C:/Users/Gilberto/Desktop/Gilberto/Projetos/btseg/data/Outdir\116\145.png
22,C:/Users/Gilberto/Desktop/Gilberto/Projetos/btseg/data/Outdir\117\,C:/Users/Gilberto/Desktop/Gilberto/Projetos/btseg/data/Outdir\117\70.png
23,C:/Users/Gilberto/Desktop/Gilberto/Projetos/btseg/data/Outdir\118\,C:/Users/Gilberto/Desktop/Gilberto/Projetos/btseg/data/Outdir\118\99.png
24,C:/Users/Gilberto/Desktop/Gilberto/Projetos/btseg/data/Outdir\119\,C:/Users/Gilberto/Desktop/Gilberto/Projetos/btseg/data/Outdir\119\122.png
25,C:/Users/Gilberto/Desktop/Gilberto/Projetos/btseg/data/Outdir\12\,C:/Users/Gilberto/Desktop/Gilberto/Projetos/btseg/data/Outdir\12\139.png
26,C:/Users/Gilberto/Desktop/Gilberto/Projetos/btseg/data/Outdir\120\,C:/Users/Gilberto/Desktop/Gilberto/Projetos/btseg/data/Outdir\120\145.png
27,C:/Users/Gilberto/Desktop/Gilberto/Projetos/btseg/data/Outdir\121\,C:/Users/Gilberto/Desktop/Gilberto/Projetos/btseg/data/Outdir\121\154.png
28,C:/Users/Gilberto/Desktop/Gilberto/Projetos/btseg/data/Outdir\122\,C:/Users/Gilberto/Desktop/Gilberto/Projetos/btseg/data/Outdir\122\99.png
29,C:/Users/Gilberto/Desktop/Gilberto/Projetos/btseg/data/Outdir\123\,C:/Users/Gilberto/Desktop/Gilberto/Projetos/btseg/data/Outdir\123\81.png
30,C:/Users/Gilberto/Desktop/Gilberto/Projetos/btseg/data/Outdir\124\,C:/Users/Gilberto/Desktop/Gilberto/Projetos/btseg/data/Outdir\124\111.png
31,C:/Users/Gilberto/Desktop/Gilberto/Projetos/btseg/data/Outdir\125\,C:/Users/Gilberto/Desktop/Gilberto/Projetos/btseg/data/Outdir\125\80.png
32,C:/Users/Gilberto/Desktop/Gilberto/Projetos/btseg/data/Outdir\126\,C:/Users/Gilberto/Desktop/Gilberto/Projetos/btseg/data/Outdir\126\99.png
33,C:/Users/Gilberto/Desktop/Gilberto/Projetos/btseg/data/Outdir\127\,C:/Users/Gilberto/Desktop/Gilberto/Projetos/btseg/data/Outdir\127\152.png
34,C:/Users/Gilberto/Desktop/Gilberto/Projetos/btseg/data/Outdir\128\,C:/Users/Gilberto/Desktop/Gilberto/Projetos/btseg/data/Outdir\128\84.png
35,C:/Users/Gilberto/Desktop/Gilberto/Projetos/btseg/data/Outdir\129\,C:/Users/Gilberto/Desktop/Gilberto/Projetos/btseg/data/Outdir\129\84.png
36,C:/Users/Gilberto/Desktop/Gilberto/Projetos/btseg/data/Outdir\13\,C:/Users/Gilberto/Desktop/Gilberto/Projetos/btseg/data/Outdir\13\82.png
37,C:/Users/Gilberto/Desktop/Gilberto/Projetos/btseg/data/Outdir\130\,C:/Users/Gilberto/Desktop/Gilberto/Projetos/btseg/data/Outdir\130\147.png
38,C:/Users/Gilberto/Desktop/Gilberto/Projetos/btseg/data/Outdir\131\,C:/Users/Gilberto/Desktop/Gilberto/Projetos/btseg/data/Outdir\131\99.png
39,C:/Users/Gilberto/Desktop/Gilberto/Projetos/btseg/data/Outdir\132\,C:/Users/Gilberto/Desktop/Gilberto/Projetos/btseg/data/Outdir\132\151.png
40,C:/Users/Gilberto/Desktop/Gilberto/Projetos/btseg/data/Outdir\133\,C:/Users/Gilberto/Desktop/Gilberto/Projetos/btseg/data/Outdir\133\84.png
41,C:/Users/Gilberto/Desktop/Gilberto/Projetos/btseg/data/Outdir\134\,C:/Users/Gilberto/Desktop/Gilberto/Projetos/btseg/data/Outdir\134\136.png
42,C:/Users/Gilberto/Desktop/Gilberto/Projetos/btseg/data/Outdir\135\,C:/Users/Gilberto/Desktop/Gilberto/Projetos/btseg/data/Outdir\135\115.png
43,C:/Users/Gilberto/Desktop/Gilberto/Projetos/btseg/data/Outdir\136\,C:/Users/Gilberto/Desktop/Gilberto/Projetos/btseg/data/Outdir\136\91.png
44,C:/Users/Gilberto/Desktop/Gilberto/Projetos/btseg/data/Outdir\137\,C:/Users/Gilberto/Desktop/Gilberto/Projetos/btseg/data/Outdir\137\99.png
45,C:/Users/Gilberto/Desktop/Gilberto/Projetos/btseg/data/Outdir\138\,C:/Users/Gilberto/Desktop/Gilberto/Projetos/btseg/data/Outdir\138\153.png
46,C:/Users/Gilberto/Desktop/Gilberto/Projetos/btseg/data/Outdir\139\,C:/Users/Gilberto/Desktop/Gilberto/Projetos/btseg/data/Outdir\139\147.png
47,C:/Users/Gilberto/Desktop/Gilberto/Projetos/btseg/data/Outdir\14\,C:/Users/Gilberto/Desktop/Gilberto/Projetos/btseg/data/Outdir\14\154.png
48,C:/Users/Gilberto/Desktop/Gilberto/Projetos/btseg/data/Outdir\140\,C:/Users/Gilberto/Desktop/Gilberto/Projetos/btseg/data/Outdir\140\154.png
49,C:/Users/Gilberto/Desktop/Gilberto/Projetos/btseg/data/Outdir\141\,C:/Users/Gilberto/Desktop/Gilberto/Projetos/btseg/data/Outdir\141\94.png
50,C:/Users/Gilberto/Desktop/Gilberto/Projetos/btseg/data/Outdir\142\,C:/Users/Gilberto/Desktop/Gilberto/Projetos/btseg/data/Outdir\142\144.png
51,C:/Users/Gilberto/Desktop/Gilberto/Projetos/btseg/data/Outdir\143\,C:/Users/Gilberto/Desktop/Gilberto/Projetos/btseg/data/Outdir\143\137.png
52,C:/Users/Gilberto/Desktop/Gilberto/Projetos/btseg/data/Outdir\144\,C:/Users/Gilberto/Desktop/Gilberto/Projetos/btseg/data/Outdir\144\147.png
53,C:/Users/Gilberto/Desktop/Gilberto/Projetos/btseg/data/Outdir\145\,C:/Users/Gilberto/Desktop/Gilberto/Projetos/btseg/data/Outdir\145\71.png
54,C:/Users/Gilberto/Desktop/Gilberto/Projetos/btseg/data/Outdir\146\,C:/Users/Gilberto/Desktop/Gilberto/Projetos/btseg/data/Outdir\146\137.png
55,C:/Users/Gilberto/Desktop/Gilberto/Projetos/btseg/data/Outdir\147\,C:/Users/Gilberto/Desktop/Gilberto/Projetos/btseg/data/Outdir\147\129.png
56,C:/Users/Gilberto/Desktop/Gilberto/Projetos/btseg/data/Outdir\148\,C:/Users/Gilberto/Desktop/Gilberto/Projetos/btseg/data/Outdir\148\138.png
57,C:/Users/Gilberto/Desktop/Gilberto/Projetos/btseg/data/Outdir\149\,C:/Users/Gilberto/Desktop/Gilberto/Projetos/btseg/data/Outdir\149\154.png
58,C:/Users/Gilberto/Desktop/Gilberto/Projetos/btseg/data/Outdir\15\,C:/Users/Gilberto/Desktop/Gilberto/Projetos/btseg/data/Outdir\15\76.png
59,C:/Users/Gilberto/Desktop/Gilberto/Projetos/btseg/data/Outdir\16\,C:/Users/Gilberto/Desktop/Gilberto/Projetos/btseg/data/Outdir\16\99.png
60,C:/Users/Gilberto/Desktop/Gilberto/Projetos/btseg/data/Outdir\17\,C:/Users/Gilberto/Desktop/Gilberto/Projetos/btseg/data/Outdir\17\105.png
61,C:/Users/Gilberto/Desktop/Gilberto/Projetos/btseg/data/Outdir\18\,C:/Users/Gilberto/Desktop/Gilberto/Projetos/btseg/data/Outdir\18\153.png
62,C:/Users/Gilberto/Desktop/Gilberto/Projetos/btseg/data/Outdir\19\,C:/Users/Gilberto/Desktop/Gilberto/Projetos/btseg/data/Outdir\19\88.png
63,C:/Users/Gilberto/Desktop/Gilberto/Projetos/btseg/data/Outdir\2\,C:/Users/Gilberto/Desktop/Gilberto/Projetos/btseg/data/Outdir\2\99.png
